route_long_name,route_type,route_text_color,agency_id,route_id,route_color,route_short_name
Birkdale To Wairau Intermediate,3,,BTL,07355-20170524122152_v54.17,,073
Waiheke High School to Oneroa,3,,WBC,22056-20170524122152_v54.17,,220
Lynfield To Civic Centre Express,3,,NZBML,26709-20170524122152_v54.17,,267X
Greenhithe To Kingsway School,3,,BAYES,01057-20170524122152_v54.17,,010
Mt Roskill Grammar To Lynfield,3,,NZBML,26752-20170524122152_v54.17,,267
Flat Bush to Alfriston Sch and Takanini to Alfriston Col,3,,RTH,00353-20170524122152_v54.17,,003
Beach Haven To Northcote Schools and Takapuna,3,,BTL,01257-20170524122152_v54.17,,012
Glen Eden To Green Bay High,3,,RTH,00653-20170524122152_v54.17,,006
Outer Link St Lukes To CBD Clockwise,3,,NZBML,73106-20170524122152_v54.17,,OUT
Carmel College And Westlake Girls To Gulf Harbour,3,,NZBNS,04752-20170524122152_v54.17,,047
Northcote College To Hillcrest,3,,BTL,08156-20170524122152_v54.17,,081
Laingholm To City Centre Express,3,,RTH,17103-20170524122152_v54.17,,171X
Glen Innes Centre To Britomart Via Orakei,3,,NZBML,71501-20170524122152_v54.17,,715
Highland Park To Howick Schools,3,,HE,07251-20170524122152_v54.17,,072
Pt Chevalier To St Heliers Via Selwyn Village,3,,NZBML,00704-20170524122152_v54.17,,007
Britomart Train Station to Papakura Train Station,2,,AM,20324-20170524122152_v54.17,,STH
Mangere Town Centre To Manukau Station Via Otahuhu And Otara,3,,GBT,32501-20170524122152_v54.17,,325
Midtown To Blockhouse Bay Via Sandringham Rd,3,,NZBML,24802-20170524122152_v54.17,,248
Devonport Wharf To Stanley Bay And Return,3,,RTH,77902-20170524122152_v54.17,,779
Mangere Town Centre To Sylvia Park Via Otahuhu,3,,GBT,03201-20170524122152_v54.17,,32
Oakway Dr To Upper Harbour Primary,3,,RTH,07051-20170524122152_v54.17,,070
Papatoetoe High To Middlemore,3,,GBT,05452-20170524122152_v54.17,,054
Pukekohe to Tuakau,3,,RTH,39802-20170524122152_v54.17,,398
